,adjs
0,abbreviated
1,abdominal
2,aberrant
3,abiding
4,abject
5,ablaze
6,able
7,abnormal
8,abominable
9,abrasive
10,abreast
11,abrupt
12,abs
13,absent
14,absolute
15,abstract
16,absurd
17,abundant
18,abusive
19,abysmal
20,academic
21,accelerated
22,acceptable
23,accessible
24,accidental
25,accountable
26,accredited
27,accurate
28,accursed
29,accustomed
30,achy
31,acidic
32,acoustic
33,acrobatic
34,acrylic
35,actionable
36,active
37,actual
38,acute
39,adamant
40,adaptable
41,adaptive
42,addictive
43,additional
44,additive
45,addled
46,adept
47,adequate
48,adjacent
49,adjoining
50,adjustable
51,administrative
52,admirable
53,admissible
54,adolescent
55,adoptive
56,adorable
57,adoring
58,adrenal
59,adrift
60,adulterous
61,advanced
62,advancing
63,advantageous
64,adventist
65,adventurous
66,adversarial
67,adverse
68,advisable
69,advisory
70,aerodynamic
71,aeronautical
72,aesthetic
73,affectionate
74,afflicted
75,affluent
76,affordable
77,afghan
78,afire
79,aflame
80,afloat
81,aforementioned
82,afraid
83,african
84,ageing
85,ageless
86,aggravated
87,aggressive
88,agile
89,aging
90,agitated
91,aglow
92,agonizing
93,agreeable
94,agricultural
95,ailing
96,aimless
97,airborne
98,airsick
99,airtight
100,airy
101,ajar
102,akin
103,alarming
104,alaskan
105,albanian
106,alert
107,algerian
108,alien
109,alive
110,alkaline
111,alky
112,alleged
113,allergic
114,allied
115,alluring
116,almighty
117,alone
118,aloof
119,alphabetical
120,alpine
121,alrighty
122,alternate
123,alternating
124,altruistic
125,amateur
126,amateurish
127,amazed
128,amazing
129,amazonian
130,ambidextrous
131,ambient
132,ambiguous
133,ambitious
134,ambivalent
135,ambulatory
136,american
137,amiable
138,amicable
139,amish
140,amniotic
141,amorous
142,amphibious
143,ample
144,amused
145,amusing
146,anal
147,analytical
148,anaphylactic
149,anatomical
150,ancestral
151,ancient
152,ancillary
153,anecdotal
154,anemic
155,anesthetic
156,angelic
157,angrier
158,angry
159,anguished
160,animated
161,annoyed
162,annoying
163,annual
164,anointed
165,anomalous
166,anonymous
167,anorexic
168,antagonistic
169,antarctic
170,anterior
171,anthropological
172,anti
173,antibacterial
174,antiquated
175,antique
176,antiseptic
177,antisocial
178,anxious
179,aortic
180,apache
181,apathetic
182,apocalyptic
183,apologetic
184,appalled
185,appalling
186,apparent
187,appealing
188,appellate
189,appetizing
190,applicable
191,appreciative
192,apprehensive
193,appropriate
194,approximate
195,apt
196,aquamarine
197,aquatic
198,arab
199,arabian
200,arachnid
201,arbitrary
202,arcane
203,archaeological
204,archaic
205,archeological
206,architectural
207,arctic
208,ardent
209,arduous
210,argentine
211,argosy
212,argumentative
213,arid
214,aristocratic
215,armed
216,armenian
217,armored
218,armoured
219,aromatic
220,arrogant
221,arterial
222,arthritic
223,artificial
224,artistic
225,artsy
226,arty
227,aryan
228,ascending
229,asexual
230,ashamed
231,asian
232,asinine
233,askew
234,asleep
235,aspiring
236,assertive
237,associative
238,assorted
239,asthmatic
240,astonished
241,astonishing
242,astounded
243,astral
244,astrological
245,astronomical
246,astute
247,asymptomatic
248,athenian
249,athletic
250,atlantean
251,atmospheric
252,atomic
253,atrocious
254,attempted
255,attentive
256,attractive
257,atypical
258,auburn
259,audacious
260,audible
261,audiovisual
262,auditory
263,auspicious
264,austere
265,australian
266,austrian
267,authentic
268,autistic
269,autobiographical
270,autographed
271,automated
272,automatic
273,automotive
274,autonomous
275,auxiliary
276,available
277,avenging
278,average
279,averse
280,avid
281,awake
282,aware
283,awash
284,awesome
285,awful
286,awkward
287,aztec
288,backhand
289,backless
290,bacterial
291,bad
292,badder
293,baddest
294,baffling
295,baggy
296,baked
297,bald
298,balding
299,balian
300,balkan
301,ballistic
302,ballsy
303,balmy
304,bamboozled
305,banal
306,bandy
307,bankrupt
308,banyan
309,barbaric
310,barbarous
311,barbary
312,barbecued
313,barbed
314,bare
315,barefoot
316,barometric
317,barren
318,basal
319,baseless
320,basest
321,bashful
322,basic
323,basilar
324,bathing
325,battered
326,batty
327,bavarian
328,beaded
329,beady
330,bearable
331,bearded
332,beastly
333,beauteous
334,beautiful
335,beefy
336,begotten
337,behavioral
338,behavioural
339,beholden
340,beige
341,belated
342,beleaguered
343,belgian
344,believable
345,belligerent
346,beloved
347,bended
348,bendy
349,beneficial
350,benevolent
351,bengal
352,benign
353,benthic
354,bereaved
355,bereft
356,best
357,bewildered
358,bewildering
359,bewitched
360,biased
361,biblical
362,bicentennial
363,big
364,bigger
365,biggest
366,bilateral
367,bilingual
368,bilious
369,billfold
370,binary
371,binding
372,biochemical
373,biographical
374,biological
375,biometric
376,bionic
377,bipolar
378,birthing
379,bisexual
380,bitchy
381,bitsy
382,bitter
383,bittersweet
384,bitty
385,bizarre
386,black
387,blackened
388,blacker
389,blackest
390,blameless
391,bland
392,blank
393,blanky
394,blasphemous
395,blasted
396,blatant
397,bleached
398,bleak
399,blessed
400,blind
401,blinding
402,blissful
403,blistering
404,blithe
405,blithering
406,bloated
407,blond
408,blonde
409,blooded
410,bloodiest
411,bloodshot
412,bloodstained
413,bloodthirsty
414,bloody
415,blooming
416,blue
417,bluer
418,blunt
419,blurry
420,blustery
421,boastful
422,bobsled
423,bodacious
424,bodily
425,bogus
426,bohemian
427,boisterous
428,bold
429,bolder
430,bolivian
431,bombastic
432,bona
433,boneless
434,bonny
435,bony
436,boorish
437,bored
438,boring
439,bossy
440,botanical
441,bothersome
442,bottled
443,bottomless
444,bouncy
445,boundless
446,bountiful
447,bourgeois
448,bovine
449,bowlegged
450,boyish
451,brachial
452,bracing
453,brainless
454,brainy
455,braised
456,brash
457,brave
458,braver
459,bravest
460,brazen
461,brazilian
462,breaded
463,breakaway
464,breathable
465,breathless
466,breathtaking
467,breezy
468,bridal
469,brief
470,bright
471,brighter
472,brightest
473,brilliant
474,briny
475,brisk
476,british
477,brittle
478,broad
479,broadband
480,broader
481,bronchial
482,bronzed
483,brooding
484,brotherly
485,brownish
486,bruising
487,brutal
488,brutish
489,bubbly
490,bubonic
491,buddhist
492,budding
493,bulbous
494,bulimic
495,bulky
496,bulletproof
497,bumpy
498,bungling
499,bureaucratic
500,burgeoning
501,burly
502,burmese
503,bushy
504,busier
505,busiest
506,businesslike
507,bustling
508,busty
509,busy
510,bygone
511,byzantine
512,caged
513,cagey
514,callous
515,callow
516,calmer
517,cambodian
518,canadian
519,cancerous
520,candid
521,candlelit
522,canine
523,canned
524,canny
525,cantankerous
526,capable
527,capillary
528,capitalist
529,capitalistic
530,capricious
531,carbonated
532,cardboard
533,cardiac
534,cardiovascular
535,carefree
536,careful
537,careless
538,caribbean
539,carnal
540,carnivorous
541,carny
542,carotid
543,carpal
544,carsick
545,casual
546,cataclysmic
547,catastrophic
548,catatonic
549,catchy
550,cathartic
551,catholic
552,catlike
553,catty
554,cautionary
555,cautious
556,celebratory
557,celestial
558,celibate
559,cellular
560,celtic
561,centauri
562,centennial
563,centerfold
564,central
565,centrifugal
566,ceramic
567,cerebral
568,ceremonial
569,certain
570,certifiable
571,certified
572,cerulean
573,cervical
574,changeable
575,chaotic
576,charismatic
577,charitable
578,charmed
579,charming
580,charred
581,chaste
582,chatty
583,chauvinistic
584,cheap
585,cheaper
586,cheapest
587,checkered
588,cheeky
589,cheerful
590,cheery
591,cheesy
592,chemical
593,cherished
594,chesty
595,chewy
596,chic
597,chicky
598,childish
599,childless
600,childlike
601,chilean
602,chilling
603,chilly
604,chiltern
605,chinese
606,chipper
607,chivalrous
608,choosy
609,choppy
610,choral
611,christian
612,chronic
613,chronological
614,chubby
615,chummy
616,chunky
617,cinematic
618,circular
619,circulatory
620,circumstantial
621,citywide
622,civic
623,civil
624,civilian
625,civilised
626,civilized
627,clammy
628,clandestine
629,classic
630,classical
631,classier
632,classified
633,classy
634,claustrophobic
635,clean
636,cleanest
637,clear
638,clearer
639,clearest
640,clerical
641,clever
642,cleverer
643,cleverest
644,climactic
645,clingy
646,clinical
647,clit
648,cloaking
649,close
650,closest
651,cloudy
652,clueless
653,clumpy
654,clumsy
655,clunky
656,coarse
657,coastal
658,cockeyed
659,cockney
660,cocky
661,coded
662,coed
663,cogent
664,cognitive
665,cognizant
666,coherent
667,coincidental
668,cold
669,colder
670,coldest
671,colic
672,collapsible
673,collective
674,collegiate
675,colombian
676,colonial
677,colonic
678,colored
679,colorful
680,colorless
681,colossal
682,coloured
683,colourful
684,columbian
685,comatose
686,combative
687,combustible
688,comely
689,comfortable
690,comforting
691,comfy
692,comic
693,comical
694,commanding
695,commemorative
696,commendable
697,commercial
698,commissary
699,common
700,commonplace
701,communal
702,communicable
703,communist
704,comparable
705,comparative
706,compassionate
707,compatible
708,compelling
709,compensatory
710,competent
711,competitive
712,complacent
713,complementary
714,complete
715,complex
716,complicated
717,complicating
718,complimentary
719,composite
720,comprehensive
721,compressed
722,compulsive
723,compulsory
724,computerized
725,conceited
726,conceivable
727,concentric
728,conceptual
729,concerned
730,concise
731,conclusive
732,concrete
733,concurrent
734,condensed
735,condescending
736,conditional
737,conducive
738,conductive
739,confectionary
740,confident
741,confidential
742,confining
743,conflicting
744,confounded
745,confrontational
746,confusing
747,congenial
748,congenital
749,congested
750,congestive
751,congressional
752,conjugal
753,conquering
754,conscientious
755,conscious
756,consecrated
757,consecutive
758,consensual
759,consenting
760,conservative
761,considerable
762,considerate
763,consistent
764,consolidated
765,conspicuous
766,constant
767,constitutional
768,constructive
769,consular
770,contagious
771,contemporary
772,contemptible
773,contemptuous
774,contented
775,continental
776,contingent
777,continual
778,continuous
779,contraceptive
780,contradictory
781,contrite
782,controversial
783,convalescent
784,convenient
785,conventional
786,conversational
787,convincing
788,convoluted
789,cool
790,coolest
791,cooperative
792,copacetic
793,cordial
794,cordless
795,corned
796,cornish
797,corny
798,coronary
799,corporate
800,corporeal
801,correct
802,correctional
803,corrective
804,corresponding
805,corrosive
806,corrupt
807,cosmetic
808,cosmic
809,costly
810,cosy
811,counterfeit
812,counterproductive
813,countless
814,courageous
815,courteous
816,couscous
817,covert
818,coveted
819,cowardly
820,coy
821,cozy
822,crabby
823,crafty
824,cranial
825,cranky
826,crapper
827,crappy
828,crass
829,crazed
830,crazier
831,craziest
832,crazy
833,creaking
834,creaky
835,creamed
836,creamy
837,creative
838,credible
839,creepy
840,crematory
841,creole
842,cretaceous
843,cricoid
844,crimean
845,criminal
846,crimson
847,crippling
848,crisp
849,crispy
850,critical
851,crooked
852,crotchety
853,crowded
854,crucial
855,cruddy
856,crude
857,cruel
858,cruelest
859,crummy
860,crunchy
861,crusty
862,cryogenic
863,cryptic
864,crystalline
865,cuban
866,cubic
867,culinary
868,cultural
869,cultured
870,cumbersome
871,cumulative
872,cunning
873,curable
874,curative
875,curious
876,curiouser
877,current
878,cursory
879,curt
880,curved
881,cushy
882,custodial
883,customary
884,customized
885,cute
886,cuter
887,cutest
888,cutesy
889,cyanotic
890,cybernetic
891,cymbal
892,cynical
893,cyrillic
894,cystic
895,czech
896,czechoslovakian
897,daft
898,daily
899,dainty
900,damn
901,damnable
902,damndest
903,damnedest
904,damp
905,dangerous
906,danish
907,dank
908,dapper
909,daring
910,dark
911,darkened
912,darker
913,darkest
914,darn
915,darndest
916,darned
917,darnedest
918,darwinian
919,dashing
920,dastardly
921,dateless
922,daunting
923,dazzling
924,dead
925,deader
926,deadlier
927,deadliest
928,deadly
929,deaf
930,deafening
931,dearer
932,dearest
933,deathly
934,debatable
935,debilitating
936,debonair
937,decadent
938,decaying
939,deceased
940,deceitful
941,decent
942,deceptive
943,decimal
944,decisive
945,decomposed
946,decorative
947,decreased
948,decrepit
949,deductible
950,deductive
951,deep
952,deepest
953,defective
954,defenceless
955,defenseless
956,defensible
957,defensive
958,defiant
959,deficient
960,definite
961,definitive
962,deformed
963,deft
964,defunct
965,degenerate
966,degenerative
967,dejected
968,delectable
969,deliberate
970,delicate
971,delicious
972,delighted
973,delightful
974,delirious
975,delusional
976,demeaning
977,demented
978,democratic
979,demographic
980,demonic
981,demonstrative
982,demure
983,dense
984,dental
985,departmental
986,dependable
987,dependent
988,deplorable
989,deposed
990,depository
991,depraved
992,depressed
993,depressing
994,derelict
995,derogatory
996,descriptive
997,deserving
998,desiccated
999,designated
1000,desirable
1001,desirous
1002,desolate
1003,desperate
1004,despicable
1005,despondent
1006,destitute
1007,destructive
1008,detailed
1009,detectable
1010,deteriorating
1011,detrimental
1012,devastating
1013,developmental
1014,deviant
1015,deviled
1016,devilish
1017,devious
1018,devoid
1019,devoted
1020,devout
1021,dewy
1022,diabolical
1023,diagnostic
1024,diagonal
1025,diaphoretic
1026,dietary
1027,different
1028,difficult
1029,digestive
1030,digital
1031,dignified
1032,diligent
1033,dimensional
1034,diminutive
1035,dingy
1036,diplomatic
1037,dippy
1038,dipsy
1039,dire
1040,direct
1041,directional
1042,dirtier
1043,dirtiest
1044,dirty
1045,disabled
1046,disadvantaged
1047,disagreeable
1048,disappointed
1049,disappointing
1050,disapproving
1051,disastrous
1052,discerning
1053,disciplinary
1054,disciplined
1055,disconcerting
1056,discordant
1057,discouraging
1058,discourteous
1059,discreet
1060,discrete
1061,discretionary
1062,discriminating
1063,diseased
1064,disembodied
1065,disenfranchised
1066,disgraced
1067,disgraceful
1068,disgruntled
1069,disgusted
1070,disgusting
1071,dishonest
1072,dishonorable
1073,dishwashing
1074,disinterested
1075,disloyal
1076,dismal
1077,dismayed
1078,dismissive
1079,disobedient
1080,disorderly
1081,disoriented
1082,disparaging
1083,displeased
1084,disposable
1085,disproportionate
1086,disrespectful
1087,disruptive
1088,dissatisfied
1089,dissimilar
1090,dissociative
1091,distal
1092,distant
1093,distasteful
1094,distilled
1095,distinct
1096,distinctive
1097,distinguished
1098,distinguishing
1099,distorted
1100,distraught
1101,distressing
1102,disturbing
1103,diverse
1104,diversionary
1105,divine
1106,divisional
1107,dizzy
1108,doable
1109,docile
1110,doctoral
1111,dodgy
1112,domestic
1113,domesticated
1114,dominant
1115,dominican
1116,doozy
1117,dorky
1118,dormant
1119,dorsal
1120,doting
1121,dotted
1122,dotty
1123,double
1124,doubtful
1125,dowdy
1126,downed
1127,downward
1128,downy
1129,drab
1130,drafty
1131,dramatic
1132,drastic
1133,dreaded
1134,dreadful
1135,dreamy
1136,dreary
1137,dressy
1138,drier
1139,droll
1140,droopy
1141,drowsy
1142,drunk
1143,drunken
1144,drunker
1145,dry
1146,dual
1147,dubious
1148,ducal
1149,ducky
1150,due
1151,duelling
1152,dull
1153,duller
1154,dullest
1155,dumb
1156,dumber
1157,dumbest
1158,dumpy
1159,duplex
1160,durable
1161,dusky
1162,dusty
1163,dutch
1164,dutiful
1165,dwindling
1166,dynamic
1167,dysfunctional
1168,dyslexic
1169,eager
1170,earliest
1171,earnest
1172,earthbound
1173,earthly
1174,earthy
1175,easier
1176,easiest
1177,eastbound
1178,eastern
1179,easy
1180,easygoing
1181,eccentric
1182,ecclesiastical
1183,eclectic
1184,ecological
1185,economic
1186,economical
1187,ecstatic
1188,edgewise
1189,edgy
1190,edible
1191,editorial
1192,educated
1193,educational
1194,eerie
1195,effective
